gloss,spoken
집 불,댁에 불이 났어요.
집 불,주택에 불이 났어요.
집 불,가옥에 불이 났어요.
집 불,세대에 불이 났어요.
도착 10분 전,10분 내로 당도합니다.
도착 10분,10분 뒤에 당도합니다.
도착 1시간 전,1시간 내로 당도합니다.
도착 1시,1시에 당도합니다.
1호 갈아타다 목적 곳곳 ?,1호선 환승하는 위치는 어디인가요?
1호 갈아타다 목적 곳곳 ?,1호선 환승하는 장소는 어디인가요?
1호 곳 무엇 ?,1호선을 타는 위치는 어디인가요?
1호 곳 무엇 ?,1호선을 타는 장소은 어디인가요?
2016 새롭다 날 시작,"2016년, 새해가 출발한다"
도착 3시,3시에 당도합니다.
8호 곳곳 ?,8호선 타는 위치는 어디에 있나요?
8호 곳곳 ?,8호선 타는 장소는 어디에 있나요?
9호 곳곳 ?,9호선 타는 위치는 어디에 있나요?
9호 곳곳 ?,9호선 타는 장소는 어디에 있나요?
9호 갈아타다 목적 곳곳 ?,9호선 환승하는 위치는 어디인가요?
9호 갈아타다 목적 곳곳 ?,9호선 환승하는 장소는 어디인가요?
정보 묻다 곳 가다 부탁,가까운 인솔 데스크를 이용해 주시기 바랍니다.
제일 가깝다 곳 찾다 드리다,가장 가까운 위치로 검색해드리겠습니다.
제일 가깝다 곳 찾다 드리다,가장 가까운 장소로 검색해드리겠습니다.
제일 가깝다 곳 찾다 드리다,가장 가까운 처소로 검색해드리겠습니다.
가다 빨리 방법 ?,가장 빠른 길은 어디일까요?
갈아타다 곳 맞다,갈아타는 위치가 맞습니다.
갈아타다 곳 맞다,갈아타는 장소가 맞습니다.
개 집 지키다 유명하다,개는 주택을 잘 지키는 동물로 알려져 있다
개 집 지키다 유명하다,개는 가옥을 잘 지키는 동물로 알려져 있다
건강 돌보다,기력을 돌보다
건강 위하다 운동 필요,기력을 위해 운동해야 한다
건강 위하다 운동 필요,건강을 위해 스포츠해야 한다
건강 위하다 운동 필요,건강을 위해 체육해야 한다
걷다 빠르다,보행이 빠르다
결과 무엇 너무 궁금하다,끝끝내 어떻게 되었는지 정말 궁금하다
결과 무엇 너무 궁금하다,최후가 어떻게 되었는지 정말 궁금하다
결과 무엇 너무 궁금하다,막바지가 어떻게 되었는지 정말 궁금하다
결과 무엇 너무 궁금하다,결국에 어떻게 되었는지 정말 궁금하다
결과 무엇 너무 궁금하다,마지막에 어떻게 되었는지 정말 궁금하다
결과 무엇 너무 궁금하다,결말이 어떻게 되었는지 정말 궁금하다
돈 계산 잘못하다,셈을 잘못하였습니다.
계획 끝 일 오늘 시작,계획했던 작업을 실천했다
감사 마음 전하다 위하다 편지 쓰다,고마운 심정을 담아 편지를 준비했다
감사 마음 전하다 위하다 편지 쓰다,고마운 마음을 담아 편지를 장만했다
감사 마음 전하다 위하다 편지 쓰다,고마운 마음을 담아 편지를 마련했다
항공 배달 어디 곳 ?,공항 내 택배를 보낼 수 있는 위치는 어디입니까?
항공 배달 곳 어디 ?,공항 내 택배를 보낼 수 있는 위치는 어디입니까?
항공 배달 어디 ?,공항 내 택배를 보낼 수 있는 위치는 어디입니까?
항공 배달 곳 ?,공항 내 택배를 보낼 수 있는 위치는 어디입니까?
항공 배달 어디 곳 ?,공항 내 택배를 보낼 수 있는 장소는 어디입니까?
항공 배달 곳 어디 ?,공항 내 택배를 보낼 수 있는 장소는 어디입니까?
항공 배달 어디 ?,공항 내 택배를 보낼 수 있는 장소는 어디입니까?
항공 배달 곳 ?,공항 내 택배를 보낼 수 있는 장소는 어디입니까?
호텔 항공 가깝다 어디 곳 ?,공항 주위에 호텔은 어디있나요?
호텔 항공 가깝다 곳 어디 ?,공항 주위에 호텔은 어디있나요?
호텔 항공 가깝다 어디 ?,공항 주위에 호텔은 어디있나요?
호텔 항공 가깝다 곳 ?,공항 주위에 호텔은 어디있나요?
공항 버스 곳 전 보다 도착 차내리다,공항버스정류소 못가서 내려주세요.
공항 버스 전 곳 보다 도착 내리다,공항버스정류소 못가서 내려주세요.
공항 버스 전 곳 보다 도착 차내리다,공항버스정류소 못가서 내려주세요.
공항 버스 곳 전 보다 저기,공항버스정류소 못가서 내려주세요.
공항 버스 전 곳 보다 저기,공항버스정류소 못가서 내려주세요.
공항 버스 보다 곳 전 내리다,공항버스정류소 못가서 내려주세요.
공항 버스 보다 곳 전 차내리다,공항버스정류소 못가서 내려주세요.
공항 버스 보다 전 곳 내리다,공항버스정류소 못가서 내려주세요.
공항 버스 보다 전 곳 차내리다,공항버스정류소 못가서 내려주세요.
공항 버스 보다 곳 전 도착 내리다,공항버스정류소 못가서 내려주세요.
공항 버스 곳 전 보다 도착 차내리다,공항버스승차장 못가서 내려주세요.
공항 버스 전 곳 보다 도착 내리다,공항버스승차장 못가서 내려주세요.
공항 버스 전 곳 보다 도착 차내리다,공항버스승차장 못가서 내려주세요.
공항 버스 곳 전 보다 저기,공항버스승차장 못가서 내려주세요.
공항 버스 전 곳 보다 저기,공항버스승차장 못가서 내려주세요.
공항 버스 보다 곳 전 내리다,공항버스승차장 못가서 내려주세요.
공항 버스 보다 곳 전 차내리다,공항버스승차장 못가서 내려주세요.
공항 버스 보다 전 곳 내리다,공항버스승차장 못가서 내려주세요.
공항 버스 보다 전 곳 차내리다,공항버스승차장 못가서 내려주세요.
공항 버스 보다 곳 전 도착 내리다,공항버스승차장 못가서 내려주세요.
공항 버스 곳 전 보다 도착 차내리다,공항버스정거장 못가서 내려주세요.
공항 버스 전 곳 보다 도착 내리다,공항버스정거장 못가서 내려주세요.
공항 버스 전 곳 보다 도착 차내리다,공항버스정거장 못가서 내려주세요.
공항 버스 곳 전 보다 저기,공항버스정거장 못가서 내려주세요.
공항 버스 전 곳 보다 저기,공항버스정거장 못가서 내려주세요.
공항 버스 보다 곳 전 내리다,공항버스정거장 못가서 내려주세요.
공항 버스 보다 곳 전 차내리다,공항버스정거장 못가서 내려주세요.
공항 버스 보다 전 곳 내리다,공항버스정거장 못가서 내려주세요.
공항 버스 보다 전 곳 차내리다,공항버스정거장 못가서 내려주세요.
공항 버스 보다 곳 전 도착 내리다,공항버스정거장 못가서 내려주세요.
교통 법 지키다,교통법칙을 지키다
교통 법 지키다,교통법을 지키다
