augmentation_method,idx,gloss,spoken
SR,1,집 불,댁에 불이 났어요.
SR,2,집 불,주택에 불이 났어요.
SR,3,집 불,가옥에 불이 났어요.
SR,4,집 불,세대에 불이 났어요.
SR,5,도착 10분 전,10분 내로 당도합니다.
SR,6,도착 10분,10분 뒤에 당도합니다.
SR,7,도착 1시간 전,1시간 내로 당도합니다.
SR,8,도착 1시,1시에 당도합니다.
SR,9,1호 갈아타다 목적 곳곳,1호선 환승하는 위치는 어디인가요?
SR,10,1호 갈아타다 목적 곳곳,1호선 환승하는 장소는 어디인가요?
SR,11,1호 곳 무엇,1호선을 타는 위치는 어디인가요?
SR,12,1호 곳 무엇,1호선을 타는 장소은 어디인가요?
SR,13,2016 새롭다 날 시작,"2016년, 새해가 출발한다"
SR,14,도착 3시,3시에 당도합니다.
SR,15,8호 곳곳,8호선 타는 위치는 어디에 있나요?
SR,16,8호 곳곳,8호선 타는 장소는 어디에 있나요?
SR,17,9호 곳곳,9호선 타는 위치는 어디에 있나요?
SR,18,9호 곳곳,9호선 타는 장소는 어디에 있나요?
SR,19,9호 갈아타다 목적 곳곳,9호선 환승하는 위치는 어디인가요?
SR,20,9호 갈아타다 목적 곳곳,9호선 환승하는 장소는 어디인가요?
SR,21,정보  묻다  곳  가다  부탁,가까운 인솔 데스크를 이용해 주시기 바랍니다.
SR,22,제일  가깝다  곳  찾다  드리다,가장 가까운 위치로 검색해드리겠습니다.
SR,23,제일  가깝다  곳  찾다  드리다,가장 가까운 장소로 검색해드리겠습니다.
SR,24,제일  가깝다  곳  찾다  드리다,가장 가까운 처소로 검색해드리겠습니다.
SR,25,가다 빨리 방법,가장 빠른 길은 어디일까요?
SR,26,갈아타다 곳 맞다,갈아타는 위치가 맞습니다.
SR,27,갈아타다 곳 맞다,갈아타는 장소가 맞습니다.
SR,28,개 집 지키다 유명하다,개는 주택을 잘 지키는 동물로 알려져 있다
SR,29,개 집 지키다 유명하다,개는 가옥을 잘 지키는 동물로 알려져 있다
SR,30,건강 돌보다,기력을 돌보다
SR,31,건강 위하다 운동 필요,기력을 위해 운동해야 한다
SR,32,건강 위하다 운동 필요,건강을 위해 스포츠해야 한다
SR,33,건강 위하다 운동 필요,건강을 위해 체육해야 한다
SR,34,걷다 빠르다,보행이 빠르다
SR,35,결과 무엇 너무 궁금하다,끝끝내 어떻게 되었는지 정말 궁금하다
SR,36,결과 무엇 너무 궁금하다,최후가 어떻게 되었는지 정말 궁금하다
SR,37,결과 무엇 너무 궁금하다,막바지가 어떻게 되었는지 정말 궁금하다
SR,38,결과 무엇 너무 궁금하다,결국에 어떻게 되었는지 정말 궁금하다
SR,39,결과 무엇 너무 궁금하다,마지막에 어떻게 되었는지 정말 궁금하다
SR,40,결과 무엇 너무 궁금하다,결말이 어떻게 되었는지 정말 궁금하다
SR,41,돈 계산 잘못하다,셈을 잘못하였습니다.
SR,42,계획 끝 일 오늘 시작,계획했던 작업을 실천했다
SR,43,감사 마음 전하다 위하다 편지 쓰다,고마운 심정을 담아 편지를 준비했다
SR,44,감사 마음 전하다 위하다 편지 쓰다,고마운 마음을 담아 편지를 장만했다
SR,45,감사 마음 전하다 위하다 편지 쓰다,고마운 마음을 담아 편지를 마련했다
SR,46,항공  배달  어디  곳,공항 내 택배를 보낼 수 있는 위치는 어디입니까?
SR,47,항공  배달  곳  어디,공항 내 택배를 보낼 수 있는 위치는 어디입니까?
SR,48,항공  배달  어디,공항 내 택배를 보낼 수 있는 위치는 어디입니까?
SR,49,항공  배달  곳,공항 내 택배를 보낼 수 있는 위치는 어디입니까?
SR,50,항공  배달  어디  곳,공항 내 택배를 보낼 수 있는 장소는 어디입니까?
SR,51,항공  배달  곳  어디,공항 내 택배를 보낼 수 있는 장소는 어디입니까?
SR,52,항공  배달  어디,공항 내 택배를 보낼 수 있는 장소는 어디입니까?
SR,53,항공  배달  곳,공항 내 택배를 보낼 수 있는 장소는 어디입니까?
SR,54,호텔  항공  가깝다  어디  곳,공항 주위에 호텔은 어디있나요?
SR,55,호텔  항공  가깝다  곳  어디,공항 주위에 호텔은 어디있나요?
SR,56,호텔  항공  가깝다  어디,공항 주위에 호텔은 어디있나요?
SR,57,호텔  항공  가깝다  곳,공항 주위에 호텔은 어디있나요?
SR,58,공항 버스 곳 전 보다 도착 차내리다,공항버스정류소 못가서 내려주세요.
SR,59,공항 버스 전 곳 보다 도착 내리다,공항버스정류소 못가서 내려주세요.
SR,60,공항 버스 전 곳 보다 도착 차내리다,공항버스정류소 못가서 내려주세요.
SR,61,공항 버스 곳 전 보다 저기,공항버스정류소 못가서 내려주세요.
SR,62,공항 버스 전 곳 보다 저기,공항버스정류소 못가서 내려주세요.
SR,63,공항 버스 보다 곳 전 내리다,공항버스정류소 못가서 내려주세요.
SR,64,공항 버스 보다 곳 전 차내리다,공항버스정류소 못가서 내려주세요.
SR,65,공항 버스 보다 전 곳 내리다,공항버스정류소 못가서 내려주세요.
SR,66,공항 버스 보다 전 곳 차내리다,공항버스정류소 못가서 내려주세요.
SR,67,공항 버스 보다 곳 전 도착 내리다,공항버스정류소 못가서 내려주세요.
SR,68,공항 버스 곳 전 보다 도착 차내리다,공항버스승차장 못가서 내려주세요.
SR,69,공항 버스 전 곳 보다 도착 내리다,공항버스승차장 못가서 내려주세요.
SR,70,공항 버스 전 곳 보다 도착 차내리다,공항버스승차장 못가서 내려주세요.
SR,71,공항 버스 곳 전 보다 저기,공항버스승차장 못가서 내려주세요.
SR,72,공항 버스 전 곳 보다 저기,공항버스승차장 못가서 내려주세요.
SR,73,공항 버스 보다 곳 전 내리다,공항버스승차장 못가서 내려주세요.
SR,74,공항 버스 보다 곳 전 차내리다,공항버스승차장 못가서 내려주세요.
SR,75,공항 버스 보다 전 곳 내리다,공항버스승차장 못가서 내려주세요.
SR,76,공항 버스 보다 전 곳 차내리다,공항버스승차장 못가서 내려주세요.
SR,77,공항 버스 보다 곳 전 도착 내리다,공항버스승차장 못가서 내려주세요.
SR,78,공항 버스 곳 전 보다 도착 차내리다,공항버스정거장 못가서 내려주세요.
SR,79,공항 버스 전 곳 보다 도착 내리다,공항버스정거장 못가서 내려주세요.
SR,80,공항 버스 전 곳 보다 도착 차내리다,공항버스정거장 못가서 내려주세요.
SR,81,공항 버스 곳 전 보다 저기,공항버스정거장 못가서 내려주세요.
SR,82,공항 버스 전 곳 보다 저기,공항버스정거장 못가서 내려주세요.
SR,83,공항 버스 보다 곳 전 내리다,공항버스정거장 못가서 내려주세요.
SR,84,공항 버스 보다 곳 전 차내리다,공항버스정거장 못가서 내려주세요.
SR,85,공항 버스 보다 전 곳 내리다,공항버스정거장 못가서 내려주세요.
SR,86,공항 버스 보다 전 곳 차내리다,공항버스정거장 못가서 내려주세요.
SR,87,공항 버스 보다 곳 전 도착 내리다,공항버스정거장 못가서 내려주세요.
SR,88,교통 법 지키다,교통법칙을 지키다
SR,89,교통 법 지키다,교통법을 지키다
SR,90,군인 나라 지키다 위하다 목숨 맡기다,군인들은 생명을 다해 조국을 지켰다
SR,91,궁금  있다  묻다  부탁,궁금하신 사항을 수어로 물어봐 주세요.
SR,92,궁금  있다  묻다  부탁,궁금하신 내역을 수어로 물어봐 주세요.
SR,93,남자 만나다 싫다,그 사나이를 만나기 싫어
SR,94,남자 만나다 싫다,그 남성를 만나기 싫어
SR,95,지금 까지 놀다 오늘 일 시작,그 새 놀았으니 다시 일을 시작해야겠다
SR,96,지금 까지 놀다 오늘 일 시작,그 사이 놀았으니 다시 일을 시작해야겠다
SR,97,지금 까지 놀다 오늘 일 시작,그 동안 놀았으니 다시 작업을 시작해야겠다
SR,98,지금 까지 놀다 오늘 일 시작,그 동안 놀았으니 다시 노동을 시작해야겠다
SR,99,지금 까지 놀다 오늘 일 시작,그 동안 놀았으니 다시 근무를 시작해야겠다
SR,100,지금 까지 놀다 오늘 일 시작,그 동안 놀았으니 다시 근로을 시작해야겠다
SR,101,지금 까지 놀다 오늘 일 시작,그 동안 놀았으니 다시 일을 착수해야겠다
SR,102,지금 까지 놀다 오늘 일 시작,그 동안 놀았으니 다시 일을 개시해야겠다
SR,103,지금 까지 놀다 오늘 일 시작,그 동안 놀았으니 다시 일을 거행해야겠다
SR,104,지금 끝 수고 많다,그 사이 수고가 많으셨습니다
SR,105,지금 끝 수고 많다,그 동안 노고가 많으셨습니다
SR,106,돈 많다 하루 갚다 가능 불가능,그 많은 금전을 하루만에 갚는건 불가능해
SR,107,학생 공부 하다 아니다 놀다 뿐,그 어린애는 공부를 하지 않고 놀기만 한다
SR,108,학생 공부 하다 아니다 놀다 뿐,그 어린아이는 공부를 하지 않고 놀기만 한다
SR,109,학생 공부 하다 아니다 놀다 뿐,그 아동은 공부를 하지 않고 놀기만 한다
SR,110,학생 공부 하다 아니다 놀다 뿐,그 애는 공부를 하지 않고 놀기만 한다
SR,111,학생 공부 하다 아니다 놀다 뿐,그 어린이는 공부를 하지 않고 놀기만 한다
SR,112,여자 마음 좋다 돌보다 노력,그 여인는 마음이 좋으니깐 친절히 돌봐줄거야
SR,113,여자 마음 좋다 돌보다 노력,그 여성는 마음이 좋으니깐 친절히 돌봐줄거야
SR,114,여자 마음 좋다 돌보다 노력,그 여자는 심정이 좋으니깐 친절히 돌봐줄거야
SR,115,저기 일 하다 싫다,그 작업은 하기 싫어
SR,116,저기 일 하다 싫다,그 노동은 하기 싫어
SR,117,저기 일 하다 싫다,그 근무는 하기 싫어
SR,118,학생 동생 돌보다 모습 어른 같다,그 학생은 조숙해서 동생을 돌보는 품이 어르신같다
SR,119,학생 동생 돌보다 모습 어른 같다,그 학생은 조숙해서 동생을 돌보는 품이 성인같다
SR,120,여자 나 친하다 친구,그녀는 나와 아주 친한 동무야
SR,121,여자 나 친하다 친구,그녀는 나와 아주 친한 벗야
SR,122,여자 남편 없다 혼자 자녀 3 키우다,그녀는 남편없이 스스로 세 자녀를 키워냈다
SR,123,여자 아기 자다 얼굴 보다 행복 미소,그녀는 잠든 어린애의 얼굴을 보고 행복한 미소를 지었다
SR,124,여자 아기 자다 얼굴 보다 행복 미소,그녀는 잠든 어린아이의 얼굴을 보고 행복한 미소를 지었다
SR,125,여자 아기 자다 얼굴 보다 행복 미소,그녀는 잠든 아동의 얼굴을 보고 행복한 미소를 지었다
SR,126,여자 아기 자다 얼굴 보다 행복 미소,그녀는 잠든 애의 얼굴을 보고 행복한 미소를 지었다
SR,127,여자 아기 자다 얼굴 보다 행복 미소,그녀는 잠든 어린이의 얼굴을 보고 행복한 미소를 지었다
SR,128,남자 생각 마지막 대답,그는 오랜 사고끝에 대답했다
SR,129,남자 생각 궁금 물어보다,그의 의식은 어떤지 물어보았다
SR,130,남자 생각 궁금 물어보다,그의 신경은 어떤지 물어보았다
SR,131,남자 생각 궁금 물어보다,그의 견해는 어떤지 물어보았다
SR,132,남자 생각 궁금 물어보다,그의 의견은 어떤지 물어보았다
SR,133,남자 생각 궁금 물어보다,그의 의사는 어떤지 물어보았다
SR,134,버스 곳 가깝다,인근에 버스 정류장이 있나요?
SR,135,버스 곳 가깝다,근방에 버스 정류장이 있나요?
SR,136,버스 곳 가깝다,부근에 버스 정류장이 있나요?
SR,137,버스 곳 가깝다,근처에 버스 정류소이 있나요?
SR,138,버스 곳 가깝다,근처에 버스 승차장이 있나요?
SR,139,버스 곳 가깝다,근처에 버스 정거장이 있나요?
SR,140,버스 곳 가깝다,인근에 버스 정류장이 있습니다.
SR,141,버스 곳 가깝다,근방에 버스 정류장이 있습니다.
SR,142,버스 곳 가깝다,부근에 버스 정류장이 있습니다.
SR,143,버스 곳 가깝다,근처에 버스 정류소이 있습니다.
SR,144,버스 곳 가깝다,근처에 버스 승차장이 있습니다.
SR,145,버스 곳 가깝다,근처에 버스 정거장이 있습니다.
SR,146,약 가깝다,인근에 약국이 있나요?
SR,147,약 가깝다,근방에 약국이 있나요?
SR,148,약 가깝다,부근에 약국이 있나요?
SR,149,약 가깝다,인근에 약국이 있습니다.
SR,150,약 가깝다,근방에 약국이 있습니다.
SR,151,약 가깝다,부근에 약국이 있습니다.
SR,152,주변 건물 붕괴,인근에 있는 건물이 붕괴되고 있어요.
SR,153,주변 건물 붕괴,근방에 있는 건물이 붕괴되고 있어요.
SR,154,주변 건물 붕괴,부근에 있는 건물이 붕괴되고 있어요.
SR,155,택시 곳 가깝다,인근에 택시 승강장이 있나요?
SR,156,택시 곳 가깝다,근방에 택시 승강장이 있나요?
SR,157,택시 곳 가깝다,부근에 택시 승강장이 있나요?
SR,158,택시 곳 가깝다,인근에 택시 승강장이 있습니다.
SR,159,택시 곳 가깝다,근방에 택시 승강장이 있습니다.
SR,160,택시 곳 가깝다,부근에 택시 승강장이 있습니다.
SR,161,주변 폭탄,인근에서 폭탄이 터졌어요.
SR,162,주변 폭탄,근방에서 폭탄이 터졌어요.
SR,163,주변 폭탄,부근에서 폭탄이 터졌어요.
SR,164,물 강 빠르다 서다 넘어지다 ,급류에 동무가 휩쓸렸어요.
SR,165,가방  비행기  안  가지다  무게  한계  몇,기내 수하물의 무게 제한는 몇 Kg인가요?
SR,166,가방  비행기  안  가지다  무게  최고  가능  몇,기내 수하물의 무게 제한는 몇 Kg인가요?
SR,167,끝 먹다 가다,종료되고 밥 먹으러 가자
SR,168,끝 먹다 가다,종결되고 밥 먹으러 가자
SR,169,끝 무엇 하다,종료되면 뭐하지
SR,170,끝 무엇 하다,종결나면 뭐하지
SR,171,끝,종결났습니다.
SR,172,나 짐 많다 돕다본인 가능,나 보따리가 많은데 도와줄 수 있어
SR,173,나 너 다르다,나는 자네와 다르다
SR,174,나 너 싫다,나는 너가 싫어
SR,175,나 너 싫다,나는 자네가 싫어
SR,176,나 오랜만 오빠 만나다 기쁘다,나는 오래간만에 오빠를 만나서 기뻤다
SR,177,나 할머니 돌아가다 슬프다,나는 할머니의 사망이 한없이 슬펐다
SR,178,나무 이용 만들다 집 벌레 많다,나무로 만든 주택은 벌레가 많다
SR,179,나무 이용 만들다 집 벌레 많다,나무로 만든 가옥은 벌레가 많다
SR,180,나 -보다 일 잘하다 질투,나보다 작업 잘하시니깐 질투가 난다
SR,181,나 너 포기 불가능,난 자네를 포기할 수 없어
SR,182,나 너 너무 좋다,난 너가 너무 좋아
SR,183,나 너 너무 좋다,난 자네가 너무 좋아
SR,184,다르다 사람 믿다 속다,남의 언어을 믿다가 뒤통수를 맞았다
SR,185,다르다 사람 믿다 속다,남의 서술을 믿다가 뒤통수를 맞았다
SR,186,남자 여자 운전 방법 가르치다 주다,사나이는 여자에게 운전을 가르쳤다
SR,187,남자 여자 운전 방법 가르치다 주다,남성는 여자에게 운전을 가르쳤다
SR,188,남자 여자 운전 방법 가르치다 주다,남자는 부녀자에게 운전을 가르쳤다
SR,189,남자 여자 운전 방법 가르치다 주다,남자는 계집에게 운전을 가르쳤다
SR,190,남자 여자 운전 방법 가르치다 주다,남자는 여인에게 운전을 가르쳤다
SR,191,남자 여자 운전 방법 가르치다 주다,남자는 여성에게 운전을 가르쳤다
SR,192,남자 아기 1 가르치다 10 이해 가능,남자어린애는 하나를 가르치면 열을 알았다
SR,193,남자 아기 1 가르치다 10 이해 가능,남자어린아이는 하나를 가르치면 열을 알았다
SR,194,남자 아기 1 가르치다 10 이해 가능,남자애는 하나를 가르치면 열을 알았다
SR,195,남자 아기 1 가르치다 10 이해 가능,남자어린이는 하나를 가르치면 열을 알았다
SR,196,나 삶 불행,내 생활은 불행하다
SR,197,보다 부족 답답하다,나 자신이 부족해서 한심했다
SR,198,친구 딸 낳다,내 동무가 딸을 낳았어
SR,199,친구 오다 반갑다 만나다 부탁,내 동무가 오는데 반갑게 맞이해줘
SR,200,나 너 -보다 키크다,내가 자네보다 더 커
