,gloss,spoken,combined
0,집 불,댁에 불이 났어요.,집 불댁에 불이 났어요.
1,집 불,주택에 불이 났어요.,집 불주택에 불이 났어요.
2,집 불,가옥에 불이 났어요.,집 불가옥에 불이 났어요.
3,집 불,세대에 불이 났어요.,집 불세대에 불이 났어요.
4,도착 10분 전,10분 내로 당도합니다.,도착 10분 전10분 내로 당도합니다.
5,도착 10분,10분 뒤에 당도합니다.,도착 10분10분 뒤에 당도합니다.
6,도착 1시간 전,1시간 내로 당도합니다.,도착 1시간 전1시간 내로 당도합니다.
7,도착 1시,1시에 당도합니다.,도착 1시1시에 당도합니다.
10,1호 곳 무엇,1호선을 타는 위치는 어디인가요?,1호 곳 무엇1호선을 타는 위치는 어디인가요?
11,1호 곳 무엇,1호선을 타는 장소은 어디인가요?,1호 곳 무엇1호선을 타는 장소은 어디인가요?
12,2016 새롭다 날 시작,"2016년, 새해가 출발한다","2016 새롭다 날 시작2016년, 새해가 출발한다"
13,도착 3시,3시에 당도합니다.,도착 3시3시에 당도합니다.
14,8호 곳곳,8호선 타는 위치는 어디에 있나요?,8호 곳곳8호선 타는 위치는 어디에 있나요?
15,8호 곳곳,8호선 타는 장소는 어디에 있나요?,8호 곳곳8호선 타는 장소는 어디에 있나요?
16,9호 곳곳,9호선 타는 위치는 어디에 있나요?,9호 곳곳9호선 타는 위치는 어디에 있나요?
17,9호 곳곳,9호선 타는 장소는 어디에 있나요?,9호 곳곳9호선 타는 장소는 어디에 있나요?
24,가다 빨리 방법,가장 빠른 길은 어디일까요?,가다 빨리 방법가장 빠른 길은 어디일까요?
25,갈아타다 곳 맞다,갈아타는 위치가 맞습니다.,갈아타다 곳 맞다갈아타는 위치가 맞습니다.
26,갈아타다 곳 맞다,갈아타는 장소가 맞습니다.,갈아타다 곳 맞다갈아타는 장소가 맞습니다.
29,건강 돌보다,기력을 돌보다,건강 돌보다기력을 돌보다
30,건강 위하다 운동 필요,기력을 위해 운동해야 한다,건강 위하다 운동 필요기력을 위해 운동해야 한다
31,건강 위하다 운동 필요,건강을 위해 스포츠해야 한다,건강 위하다 운동 필요건강을 위해 스포츠해야 한다
32,건강 위하다 운동 필요,건강을 위해 체육해야 한다,건강 위하다 운동 필요건강을 위해 체육해야 한다
33,걷다 빠르다,보행이 빠르다,걷다 빠르다보행이 빠르다
40,돈 계산 잘못하다,셈을 잘못하였습니다.,돈 계산 잘못하다셈을 잘못하였습니다.
41,계획 끝 일 오늘 시작,계획했던 작업을 실천했다,계획 끝 일 오늘 시작계획했던 작업을 실천했다
53,호텔 항공 가깝다 어디 곳,공항 주위에 호텔은 어디있나요?,호텔 항공 가깝다 어디 곳공항 주위에 호텔은 어디있나요?
54,호텔 항공 가깝다 곳 어디,공항 주위에 호텔은 어디있나요?,호텔 항공 가깝다 곳 어디공항 주위에 호텔은 어디있나요?
55,호텔 항공 가깝다 어디,공항 주위에 호텔은 어디있나요?,호텔 항공 가깝다 어디공항 주위에 호텔은 어디있나요?
56,호텔 항공 가깝다 곳,공항 주위에 호텔은 어디있나요?,호텔 항공 가깝다 곳공항 주위에 호텔은 어디있나요?
87,교통 법 지키다,교통법칙을 지키다,교통 법 지키다교통법칙을 지키다
88,교통 법 지키다,교통법을 지키다,교통 법 지키다교통법을 지키다
92,남자 만나다 싫다,그 사나이를 만나기 싫어,남자 만나다 싫다그 사나이를 만나기 싫어
93,남자 만나다 싫다,그 남성를 만나기 싫어,남자 만나다 싫다그 남성를 만나기 싫어
103,지금 끝 수고 많다,그 사이 수고가 많으셨습니다,지금 끝 수고 많다그 사이 수고가 많으셨습니다
104,지금 끝 수고 많다,그 동안 노고가 많으셨습니다,지금 끝 수고 많다그 동안 노고가 많으셨습니다
114,저기 일 하다 싫다,그 작업은 하기 싫어,저기 일 하다 싫다그 작업은 하기 싫어
115,저기 일 하다 싫다,그 노동은 하기 싫어,저기 일 하다 싫다그 노동은 하기 싫어
116,저기 일 하다 싫다,그 근무는 하기 싫어,저기 일 하다 싫다그 근무는 하기 싫어
119,여자 나 친하다 친구,그녀는 나와 아주 친한 동무야,여자 나 친하다 친구그녀는 나와 아주 친한 동무야
120,여자 나 친하다 친구,그녀는 나와 아주 친한 벗야,여자 나 친하다 친구그녀는 나와 아주 친한 벗야
127,남자 생각 마지막 대답,그는 오랜 사고끝에 대답했다,남자 생각 마지막 대답그는 오랜 사고끝에 대답했다
128,남자 생각 궁금 물어보다,그의 의식은 어떤지 물어보았다,남자 생각 궁금 물어보다그의 의식은 어떤지 물어보았다
129,남자 생각 궁금 물어보다,그의 신경은 어떤지 물어보았다,남자 생각 궁금 물어보다그의 신경은 어떤지 물어보았다
