gloss,spoken
웃음 실종 잃어버리다,웃음을 잃어버렸습니다.
쌍둥이 색 다르다,쌍둥이도 색이 다르다
여행  취미 단체  가입  어디,여행자클럽을 가입하고 싶은데 어디서 하면 되나요?
컴퓨터 찾다 실종,컴퓨터를 분실하셨나요?
나무 빽빽하다 곳 다음,숲 지나서 내려드릴까요?
개 몸 지키다 유명하다,개는 몸을 잘 지키는 동물로 알려져 있다
여자 아기 자다 얼굴 털어내는 동작 맡기다 행복 미소,그녀는 잠든 아이의 얼굴을 내밀고 행복한 미소를 지었다
아버지 어머니 동생 심부름 시키다 시장 보내다,부모가 동생을 시장에 심부름을 보냈다
살다 사람  문열다  출입  싶다  신고  곳,주민출입신고를 하려고 하는데 어디서 하나요?
여기 내리다 맞다,여기서 내려주세요.
아기 아들 턱 수염 나다,아기가 된 아들의 턱에 수염이 나기 시작했다
나무 빽빽하다 낯선 넘어오다,숲에 모르는 사람이 침입했어요.
사랑 사랑 잊다 쉽다 어렵다,사랑했던 사랑을 잊는건 어렵다
이화여대 찾다 목적 방법 무엇,이화여대쪽으로 가려면 어떻게 가나요?
여기 있다,여기에 계세요.
도착 알려주다,도착하면 알려주세요.
핸드폰 번호 필요,핸드폰 번호를 알려드릴까요?
정보  가지다  중,정보를 가지고있습니다.
길 지도 모르다 찾다 가능,지도를 모르고 찾아갈 수 있나요?
쌍둥이 뜻 다르다,쌍둥이도 뜻이 다르다
지금 카드 사용 가능,지금 카드를 사용할 수 있나요?
공기청정기 사용 안되다 죽다,공기청정기가 안되네요.
수고,수고했습니다.
나 미술 회관 자유 원하다,자유롭게 미술관을 다니고 싶다
배고프다 힘 없다,배고파서 힘이 없다
아이 없다 실종,애를 잃어버리셨나요?
나사렛 차내리다 오케이,나사렛대학교에서 내려드릴까요?
의식 없다 실종,의식을 잃어버렸습니다.
스스로 생일 잊다,스스로의 생일을 잊었다
지하철 가방 위로올리다 까먹다,나는 지하철에 가방을 두고 내렸다.
택시 기본 돈 지폐의 흔들림을 나타내는 동작 돈,기본 요금은 현금인가요?
미래 사람 가르치다 고민 많다,앞으로 사람들을 어떻게 가르쳐야 할지 난감하다
서울  버스  무엇,서울 시내로 가는 버스 승강장은 무엇에 있습니까?
반지 없다 실종,반지를 분실하였습니다.
서울대학교 가다 목적 가다 방법,서울대학교에 어떻게 가나요?
잊다 생각,잊어서 생각해
여행  회원  가입  어디,여행자회원을 가입하고 싶은데 어디서 하면 되나요?
지하철 반대 건너다 방법,반대편 정거장으로 어떻게 갈 수 있나요?
역사  곳,역사 승강장은 어디에 있습니까?
바다 가깝다 곳 해파리 오다,해파리가 해안에 나타났습니다.
회의실 곳,회의실은 어디에 있나요?
수화 더 쓰다 원하다,수화를 더 쓰고 싶다
눈 -중 눈 사람 만들다 놀다,눈이 와서 눈사람을 만든다
중앙 내리다,중앙대학교에서 내려드릴까요?
집 주인 나 함께 살다 -중,주인님과 함께 살고 있다
여기 기차 되다,여기서 기차를  탈 수 있나요?
