augmentation_method,idx,Gloss level Korean Sign Language (GKSL) sentence,Word level Korean Language (WKL) sentence
SR,1,? ?,?? ?? ???.
SR,2,? ?,??? ?? ???.
SR,3,? ?,??? ?? ???.
SR,4,? ?,??? ?? ???.
SR,5,?? 10? ?,10? ?? ?????.
SR,6,?? 10?,10? ?? ?????.
SR,7,?? 1?? ?,1?? ?? ?????.
SR,8,?? 1?,1?? ?????.
SR,9,1? ???? ?? ??,1?? ???? ??? ??????
SR,10,1? ???? ?? ??,1?? ???? ??? ??????
SR,11,1? ? ??,1??? ?? ??? ??????
SR,12,1? ? ??,1??? ?? ??? ??????
SR,13,2016 ??? ? ??,"2016?, ??? ????"
SR,14,?? 3?,3?? ?????.
SR,15,8? ??,8?? ?? ??? ??? ????
SR,16,8? ??,8?? ?? ??? ??? ????
SR,17,9? ??,9?? ?? ??? ??? ????
SR,18,9? ??,9?? ?? ??? ??? ????
SR,19,9? ???? ?? ??,9?? ???? ??? ??????
SR,20,9? ???? ?? ??,9?? ???? ??? ??????
SR,21,??  ??  ?  ??  ??,??? ?? ???? ??? ??? ????.
SR,22,??  ???  ?  ??  ???,?? ??? ??? ?????????.
SR,23,??  ???  ?  ??  ???,?? ??? ??? ?????????.
SR,24,??  ???  ?  ??  ???,?? ??? ??? ?????????.
SR,25,?? ?? ??,?? ?? ?? ??????
SR,26,???? ? ??,???? ??? ????.
SR,27,???? ? ??,???? ??? ????.
SR,28,? ? ??? ????,?? ??? ? ??? ??? ??? ??
SR,29,? ? ??? ????,?? ??? ? ??? ??? ??? ??
SR,30,?? ???,??? ???
SR,31,?? ??? ?? ??,??? ?? ???? ??
SR,32,?? ??? ?? ??,??? ?? ????? ??
SR,33,?? ??? ?? ??,??? ?? ???? ??
SR,34,?? ???,??? ???
SR,35,?? ?? ?? ????,??? ??? ???? ?? ????
SR,36,?? ?? ?? ????,??? ??? ???? ?? ????
SR,37,?? ?? ?? ????,???? ??? ???? ?? ????
SR,38,?? ?? ?? ????,??? ??? ???? ?? ????
SR,39,?? ?? ?? ????,???? ??? ???? ?? ????
SR,40,?? ?? ?? ????,??? ??? ???? ?? ????
SR,41,? ?? ????,?? ???????.
SR,42,?? ? ? ?? ??,???? ??? ????
SR,43,?? ?? ??? ??? ?? ??,??? ??? ?? ??? ????
SR,44,?? ?? ??? ??? ?? ??,??? ??? ?? ??? ????
SR,45,?? ?? ??? ??? ?? ??,??? ??? ?? ??? ????
SR,46,??  ??  ??  ?,?? ? ??? ?? ? ?? ??? ??????
SR,47,??  ??  ?  ??,?? ? ??? ?? ? ?? ??? ??????
SR,48,??  ??  ??,?? ? ??? ?? ? ?? ??? ??????
SR,49,??  ??  ?,?? ? ??? ?? ? ?? ??? ??????
SR,50,??  ??  ??  ?,?? ? ??? ?? ? ?? ??? ??????
SR,51,??  ??  ?  ??,?? ? ??? ?? ? ?? ??? ??????
SR,52,??  ??  ??,?? ? ??? ?? ? ?? ??? ??????
SR,53,??  ??  ?,?? ? ??? ?? ? ?? ??? ??????
SR,54,??  ??  ???  ??  ?,?? ??? ??? ??????
SR,55,??  ??  ???  ?  ??,?? ??? ??? ??????
SR,56,??  ??  ???  ??,?? ??? ??? ??????
SR,57,??  ??  ???  ?,?? ??? ??? ??????
SR,58,?? ?? ? ? ?? ?? ????,??????? ??? ?????.
SR,59,?? ?? ? ? ?? ?? ???,??????? ??? ?????.
SR,60,?? ?? ? ? ?? ?? ????,??????? ??? ?????.
SR,61,?? ?? ? ? ?? ??,??????? ??? ?????.
SR,62,?? ?? ? ? ?? ??,??????? ??? ?????.
SR,63,?? ?? ?? ? ? ???,??????? ??? ?????.
SR,64,?? ?? ?? ? ? ????,??????? ??? ?????.
SR,65,?? ?? ?? ? ? ???,??????? ??? ?????.
SR,66,?? ?? ?? ? ? ????,??????? ??? ?????.
SR,67,?? ?? ?? ? ? ?? ???,??????? ??? ?????.
SR,68,?? ?? ? ? ?? ?? ????,??????? ??? ?????.
SR,69,?? ?? ? ? ?? ?? ???,??????? ??? ?????.
SR,70,?? ?? ? ? ?? ?? ????,??????? ??? ?????.
SR,71,?? ?? ? ? ?? ??,??????? ??? ?????.
SR,72,?? ?? ? ? ?? ??,??????? ??? ?????.
SR,73,?? ?? ?? ? ? ???,??????? ??? ?????.
SR,74,?? ?? ?? ? ? ????,??????? ??? ?????.
SR,75,?? ?? ?? ? ? ???,??????? ??? ?????.
SR,76,?? ?? ?? ? ? ????,??????? ??? ?????.
SR,77,?? ?? ?? ? ? ?? ???,??????? ??? ?????.
SR,78,?? ?? ? ? ?? ?? ????,??????? ??? ?????.
SR,79,?? ?? ? ? ?? ?? ???,??????? ??? ?????.
SR,80,?? ?? ? ? ?? ?? ????,??????? ??? ?????.
SR,81,?? ?? ? ? ?? ??,??????? ??? ?????.
SR,82,?? ?? ? ? ?? ??,??????? ??? ?????.
SR,83,?? ?? ?? ? ? ???,??????? ??? ?????.
SR,84,?? ?? ?? ? ? ????,??????? ??? ?????.
SR,85,?? ?? ?? ? ? ???,??????? ??? ?????.
SR,86,?? ?? ?? ? ? ????,??????? ??? ?????.
SR,87,?? ?? ?? ? ? ?? ???,??????? ??? ?????.
SR,88,?? ? ???,????? ???
SR,89,?? ? ???,???? ???
SR,90,?? ?? ??? ??? ?? ???,???? ??? ?? ??? ???
SR,91,??  ??  ??  ??,???? ??? ??? ??? ???.
SR,92,??  ??  ??  ??,???? ??? ??? ??? ???.
SR,93,?? ??? ??,? ???? ??? ??
SR,94,?? ??? ??,? ??? ??? ??
SR,95,?? ?? ?? ?? ? ??,? ? ???? ?? ?? ??????
SR,96,?? ?? ?? ?? ? ??,? ?? ???? ?? ?? ??????
SR,97,?? ?? ?? ?? ? ??,? ?? ???? ?? ??? ??????
SR,98,?? ?? ?? ?? ? ??,? ?? ???? ?? ??? ??????
SR,99,?? ?? ?? ?? ? ??,? ?? ???? ?? ??? ??????
SR,100,?? ?? ?? ?? ? ??,? ?? ???? ?? ??? ??????
SR,101,?? ?? ?? ?? ? ??,? ?? ???? ?? ?? ??????
SR,102,?? ?? ?? ?? ? ??,? ?? ???? ?? ?? ??????
SR,103,?? ?? ?? ?? ? ??,? ?? ???? ?? ?? ??????
SR,104,?? ? ?? ??,? ?? ??? ??????
SR,105,?? ? ?? ??,? ?? ??? ??????
SR,106,? ?? ?? ?? ?? ???,? ?? ??? ???? ??? ????
SR,107,?? ?? ?? ??? ?? ?,? ???? ??? ?? ?? ??? ??
SR,108,?? ?? ?? ??? ?? ?,? ????? ??? ?? ?? ??? ??
SR,109,?? ?? ?? ??? ?? ?,? ??? ??? ?? ?? ??? ??
SR,110,?? ?? ?? ??? ?? ?,? ?? ??? ?? ?? ??? ??
