GKSL,WKL,GKSL_encoded,WKL_encoded
집 불,집에 불이 났어요.,"[2, 4384, 2485, 3]","[2, 4384, 6896, 2485, 7096, 517, 5671, 6857, 54, 3]"
집 도둑 넘어오다,집에 도둑이 들어왔어요.,"[2, 4384, 517, 5859, 5908, 1465, 6964, 5782, 3]","[2, 4384, 6896, 517, 5859, 5908, 7096, 1804, 6989, 6857, 54, 3]"
누가 교통사고,어떤 사람이 교통사고를 당했어요.,"[2, 1527, 1113, 3]","[2, 3224, 2589, 1113, 6116, 1618, 7874, 54, 3]"
먹다 중간 목 실수 삼키다,식사를 하다가 목에 음식이 걸렸어요.,"[2, 2010, 5782, 4258, 2068, 3042, 2650, 7573, 5782, 3]","[2, 3008, 6116, 4932, 5330, 2068, 6896, 3609, 7096, 889, 6072, 6857, 54, 3]"
홍수 집 물 채우다,홍수가 나서 집이 물에 잠기고 있어요.,"[2, 5108, 6629, 4384, 2135, 4451, 7005, 5782, 3]","[2, 5108, 6630, 1381, 4384, 7096, 2135, 6896, 3945, 5561, 5439, 3868, 6999, 54, 3]"
엘리베이터 갑자기 멈추다,엘리베이터가 갑자기 중간에 멈췄어요.,"[2, 3295, 6122, 6344, 7609, 806, 517, 6187, 7461, 5782, 3]","[2, 3295, 6122, 6344, 7609, 5330, 806, 4258, 6896, 517, 6187, 7474, 6857, 54, 3]"
누가 자살 중,어떤 사람이 자살을 시도하고 있어요.,"[2, 1527, 3906, 4257, 3]","[2, 3224, 2589, 3906, 7088, 2971, 7788, 3868, 6999, 54, 3]"
누가 바다 빠지다 헤엄치다,어떤 사람이 바다에 빠졌어요.,"[2, 1527, 2191, 2560, 5782, 5046, 6872, 7483, 5782, 3]","[2, 3224, 2589, 2191, 6896, 2554, 7248, 6857, 54, 3]"
바다 가깝다 곳 상어 오다,해안가에 상어가 나타났어요.,"[2, 2191, 517, 5330, 5599, 5782, 1021, 2658, 6855, 3417, 5782, 3]","[2, 4998, 6812, 5330, 6896, 2658, 6855, 5330, 1370, 7581, 5671, 6857, 54, 3]"
바다 가깝다 곳 해파리 오다,해안가에 해파리가 나타났어요.,"[2, 2191, 517, 5330, 5599, 5782, 1021, 4998, 7682, 6122, 3417, 5782, 3]","[2, 4998, 6812, 5330, 6896, 4998, 7682, 6122, 5330, 1370, 7581, 5671, 6857, 54, 3]"
물건 깔리다 몸 움직 불가능,주변 구조물이 무너져서 몸이 끼었어요. 몸을 움직이지 못하겠어요.,"[2, 2137, 1340, 6122, 5782, 2084, 517, 7014, 7342, 2486, 3]","[2, 4229, 1126, 6241, 7096, 2095, 5691, 7245, 6553, 2084, 7096, 1369, 6885, 6857, 54, 2084, 7088, 3526, 7318, 2086, 7782, 5405, 6857, 54, 3]"
주변 폭탄,근처에서 폭탄이 터졌어요.,"[2, 4229, 4871, 7590, 3]","[2, 1229, 6903, 4871, 7590, 7096, 4728, 7248, 6857, 54, 3]"
할머니 갑자기 쓰러지다,할머니가 갑자기 쓰러지셨어요,"[2, 4979, 806, 3084, 6037, 7318, 5782, 3]","[2, 4979, 5330, 806, 3084, 6037, 7318, 6604, 6857, 3]"
누가 갑자기 쓰러지다,사람이 갑자기 쓰러졌어요.,"[2, 1527, 806, 3084, 6037, 7318, 5782, 3]","[2, 2589, 806, 3084, 6037, 7248, 6857, 54, 3]"
개 뼈 뼈다귀 삼키다,강아지가 뼈를 삼켰어요.,"[2, 835, 517, 6477, 517, 6477, 5782, 5529, 2650, 7573, 5782, 3]","[2, 807, 6797, 7319, 517, 6477, 6116, 2650, 7532, 6857, 54, 3]"
아기 장난감 먹다 삼키다,아기가 장난감을 삼켰어요.,"[2, 3093, 5561, 3958, 5341, 2010, 5782, 2650, 7573, 5782, 3]","[2, 3093, 5562, 3958, 5344, 2650, 7532, 6857, 54, 3]"
고속도로 자동차 갑자기 멈추다,고속도로에서 자동차가 갑자기 멈췄어요.,"[2, 517, 5442, 3893, 806, 517, 6187, 7461, 5782, 3]","[2, 517, 5442, 6903, 3893, 5330, 806, 517, 6187, 7474, 6857, 54, 3]"
배 침몰,배가 침몰하고 있어요.,"[2, 2287, 4630, 6221, 3]","[2, 2287, 5330, 4630, 6221, 7788, 3868, 6999, 54, 3]"
낯선 뒤 쫓아오다,이상한 사람이 저를 쫓아와요,"[2, 517, 5675, 6559, 1783, 517, 7378, 6797, 6964, 5782, 3]","[2, 3704, 7828, 2589, 3990, 6116, 517, 7378, 6797, 6983, 6999, 3]"
뒤 쫓아오다 느낌,쫓아오는 것 같아요.,"[2, 1783, 517, 7378, 6797, 6964, 5782, 1549, 3]","[2, 517, 7378, 6797, 6965, 905, 832, 6999, 54, 3]"
누가 집단폭력,어떤 사람이 집단폭력을 당하고 있어요.,"[2, 1527, 4388, 7735, 3]","[2, 3224, 2589, 4388, 7735, 7088, 1618, 7788, 3868, 6999, 54, 3]"
