gloss,spoken,label,model/niasl-g2t,model/k3-g2t,model/k13-g2t,model/13k3k-g2t,model/my-g2t,model/niasltg-t2g,model/k3tg-t2g,model/k13tg-t2g,model/13k3ktg-t2g,model/mytg-t2g
안녕 ? 만나다 반갑다 . 나 농인 ., 안녕하십니까? 만나서 반갑습니다. 저는 농인입니다.,0,"[경특별취재팀] 안녕하세요,",만나서 반갑습니다.,만나서 반가워요,만나서 반가워요,만나서 반가워요. 나는 농인입니다.,북쪽 농인 북쪽 만나다 반갑다 왜  만나다 .,만나다 반갑다,반갑다,만나다 반갑다,반갑다 !
안녕 ? 만나다 반갑다 . 나 청인 ., 안녕하십니까? 만나서 반갑습니다. 저는 청인입니다.,0,"[나청인] 안녕하세요,",만나서 반갑습니다.,만나서 반가워요,만나서 반가워요,만나서 반가워요.,만나다 반갑다 사람 누구 중국 사람 .,만나다  반갑다  사람,반갑다,만나다 반갑다,반갑다 !
당신 이름 무엇 ?, 당신의 이름은 무엇입니까?,1,금일 「한상진 소설가」입니다.,어떤거요?,당신의 이름은 무엇입니까?,당신의 이름은 무엇입니까?,당신의 이름은 무엇입니까?,글 붙름 무엇 무엇 .,당신 이름 무엇,이름 무엇,이름 무엇,이름 무엇 ?
당신 농인 ?, 당신은 농인입니까?,1,[신상철 교수의 논문] 당신의 농인 : 김범,당신 농,당신은 농인입니까?,당신은 농인입니까?,당신은 농인인가요?,글 치다 사람 누구  농부 .,당신 농인,ᄌ 농인,돈주다 농인,당신 농인 ?
아니오 . 나 청인 ., 아니오. 나는 청인입니다.,0,[나청인] 타지역 거주자입니다.,저요?입니다.,나는 청인 .,청각 .,나는 청인입니다.,청인자  다르다 나라 어디 어디 북쪽 지도 .,나 청인,나 청인,나 청인,나 청인 이다 .
고맙다 . 미안하다 . 괜찮다 ., 고맙습니다. 미안합니다. 괜찮습니다.,0,미안합니다. .,고마워 . 미안해,죄송합니다 괜찮아요,미안해 . 괜찮아,고맙습니다. . 괜찮아,미안하다 괜찮다 .,미안하다니다 괜찮다,미안 다시니다,미안 미안니다 괜찮다,미안하다다 괜찮다 .
수고 다음 또 만나다, 수고하셨습니다. 다음에 또 뵙겠습니다.,0,[행정특별시청] 다음 주 다시 만나겠습니다.,수고 고마워,수고 다음에 또 만나시죠?,수고 다음 역에서 또 만나시나요?,수고 다음에도 만나자,다음 또뵙다  글 글 .,다음  또 뵙다  부탁,다음  또 뵙다,다음  또  만나다,다음 또 또 뵙다 .
나이 몇 ? 나 20 ., 나이가 어떻게 되세요? 나는 20살입니다.,0,20 .번개 혹시 떨어짐,몇 년신데?,나이 몇 몇 살이 되었을까요?,나이가 몇 살이 되었다.,나 20?,나이 어 어림잡다 어디 20살 .,나 살다 나이 방법,나 나이살다 나이 무엇,나 나이살다 나이 무엇,나 20살이다 .
나 같다 . 나 20 ., 저랑 동갑이군요. 나도 20살입니다.,0,2020년도도 같다,나 같다 .,나랑 . 내가 20 .,나랑 .,나 20이야.,20살다 어디 어디 어디 어디 어디 20살 .,나 20 동갑  친구,나 너 동갑,나 너 동갑,저 동갑 20살이다 .
우리 둘 친하게 지내다 괜찮다 ., 우리 친하게 지냅시다.,0,금일 우리 둘의 친한 친구입니다. 이번 겨울에도 친하게 지내주셔서 감사합니다.,우리는 친 친하게 지내서 괜찮다,우리는 아주 친하게 지내서 괜찮아,우리는 같은 친하게 지내지 않는다,우리는 둘 친하게 지내서 괜찮아,우리 친하게 지내다 .,친하다 친하다,우리 둘 친하다,우리 친 친하다,우리 친 친하다 지내다 .
