gloss,spoken,form
세상 다양하다 이야기 있다 .,세상에는 다양한 이야기가 있어,b
사냥 나 전통 취미 있다 .,사냥은 나의 전통적인 취미야.,b
우리 집 강아지 귀엽다 .,우리 집 강아지가 너무 귀여워.,b
스위스 알프스 산맥 아름답다 .,스위스의 알프스 산맥은 숨막히게 아름다웠어.,b
문화 교류 세계 가깝다 만들다 .,문화의 교류는 세계를 더 가깝게 만들어,b
자신 믿다 .,자신을 믿어,b
휴가 신청서 인트라넷 다운 가능 .,휴가 신청서는 인트라넷에서 다운 받을 수 있어.,b
세계 다양하다 동식물 살다 있다 .,세계에는 다양한 동식물이 살아,b
이 음식 맵다 못 먹다 .,이 음식은 매워서 못 먹겠어.,b
그 게임 무엇 하다 것이다 ?,그 게임에 뭐 하는 거야?,b
출발 시간 몇 시다 ?,출발 시간 몇 시야?,b
프로그래밍 언어 추천 하다 주다 ?,프로그래밍 언어 추천해줄래?,b
어떻게 그렇게 결정하다 ?,어떻게 그렇게 결정했어?,b
어디 그 소식 듣다 ?,어디서 그 소식을 들었어?,b
기내식 무엇 있다 ?,기내식 뭐 있을까?,b
아기 이빨 나다 시작 하다 .,아기가 이빨이 나기 시작했어.,b
버스 많이 지연되다 .,버스가 많이 지연되었어.,b
경기 시작 전 스트레칭 하다 .,경기 시작하기 전에 스트레칭 해야 해.,b
우리 지구 소중하다 알다 되다 .,우리는 지구의 소중함을 알아야 해,b
병원비 얼마 들다 ?,병원비가 얼마나 들어가나요?,b
수술 필요하다 ?,수술이 필요한 상황이에요?,b
인터넷 제 정보 유출되다 같다 .,인터넷에서 제 정보가 유출된 것 같아요.,b
주방 소리 크다 들리다 .,주방에서 소리가 너무 크게 들려.,b
내일 여기 식사하다 .,내일도 여기서 식사하려고.,b
행운 노래 듣다 보다 ?,행운의 노래를 들어봤어?,b
어디 가다 싶다 ?,어디 가고 싶어?,b
2024년 여름 여행 가다 싶다 .,2024년 여름에 여행 가고 싶어,b
헬스장 회원 가입하다 .,헬스장 회원 가입했어.,b
저녁 9시 뉴스 보다 .,저녁 9시에는 뉴스를 봐,b
너 토끼 어디 있다 ?,너의 토끼는 어디에 있어?,b
편지 우체국 바로 보내다 가능 .,편지를 우체국에서 바로 보낼 수 있어.,b
대박 이다 !,대박이야!,b
오스트레일리아 그레이트 배리어 리프 다이빙하다 .,오스트레일리아의 그레이트 배리어 리프에서 다이빙했어.,b
식물 물 주다 .,식물에 물을 주어야지,b
빨래하다 귀찮다 .,빨래를 해야하는데 너무 귀찮아,b
이 방송 몇 시즌 방영 중 ?,이 방송은 몇 시즌째 방영 중이야?,b
아기 잠옷 새로 사다 .,아기 잠옷을 새로 샀어.,b
객체 지향 디자인 패턴 대해 공부 중이다 .,객체 지향 디자인 패턴에 대해 공부 중이야.,b
나 그 수학 가르치다 .,나는 그에게 수학을 가르쳤어.,b
최근 듣다 음악 있다 ?,최근에 듣는 음악 있어?,b
기술팀 협업 필요하다 .,기술팀과 협업해야 해.,b
나 세탁기 돌리다 되다 ?,나 세탁기 돌려도 될까?,b
최근 보다 목록 어떻게 확인 하다 ?,최근에 본 목록 어떻게 확인해?,b
피아노 선생님 나 새 곡 가르치다 주다 .,피아노 선생님은 나에게 새 곡을 가르쳐 줬어.,b
병가 연차 빠지다 ?,병가도 연차에서 빠져?,b
선생님 결석 대체교사 오다 ?,선생님이 결석하시면 대체교사 올까?,b
나 그 때 기억 되살리다 보다 .,나는 그 때의 기억을 되살려보기도 해.,b
세관 검사 통과 하다 .,세관 검사 통과했어.,b
점심 같이 먹다 .,점심 같이 먹자,b
이 유튜버 얼마 구독자 있다 ?,이 유튜버 얼마나 구독자가 있을까?,b
집 텔레비전 보다 좋아하다 .,집에서 텔레비전을 즐겨봐,b
비행기 물 주다 ?,비행기에서 물 주나?,b
비행기에서 무엇 하다 ?,비행기에서는 뭐 하면서 시간 보내?,b
그거 어떻게 사용하다 ?,그거 어떻게 사용해?,b
아이 애니메이션 보다 .,아이와 애니메이션 봤어.,b
원화 가치 상승 중 .,원화 가치가 상승 중이야.,b
어디서 만나다 좋다 ?,어디서 만나는게 좋아?,b
세계 어떻다 생기다 ?,세계는 어떻게 생겨났을까?,b
인생 짧다 .,인생은 짧아,b
나 취미 조류 관찰하다 .,나는 취미로 조류 관찰을 해.,b
올해 윤년이다 .,올해는 윤년이야,b
세상 인간 선택 따르다 달라지다 .,세상은 인간의 선택에 따라 달라져,b
행운 동전 주우다 .,행운의 동전을 주웠어,b
그녀 우체국 일하다 있다 .,그녀는 우체국에서 일하고 있어.,b
새 기술 스택 조사 중이다 .,새로운 기술 스택 조사 중이야.,b
아버지 기억 나 보물이다 .,아버지와의 기억은 나의 보물이야.,b
빠르다 탑승 서비스 신청 하다 .,빠른 탑승 서비스 신청했어.,b
의견 차이 있다 가능 이해하다 되다 .,"의견 차이는 있을 수 있지만, 이해해야 해.",b
너도 그 생각이다 ?,너도 그 생각이야?,b
내일 회사 가다 되다 .,내일 회사에 가야해,b
내일 학교 가다 되다 .,내일 학교 가야 돼,b
나 취미 조각하다 .,나는 취미로 조각하기를 해.,b
인게임 통화 충전 하다 ?,인게임 통화 충전했어?,b
그 아름답다 과거 기억 간직하다 있다 .,그는 아름다운 과거의 기억을 간직하고 있어.,b
그 게임 공략 보다 하다 ?,그 게임 공략 보고 했어?,b
넷플릭스 구독료 얼마 ?,넷플릭스 구독료 얼마야?,b
코멘트 남기다 주다 .,코멘트 좀 남겨줘.,b
담임 선생님 상담 하다 .,담임 선생님과 상담을 했어.,b
파스타 종류 많다 고르다 힘들다 .,파스타 종류가 많아서 고르기 힘들었어.,b
지금 20분 동안 기다리다 주다 .,지금부터 20분 동안 기다려줘,b
나 그 날 기억 잊다 수 없다 .,나는 그 날의 기억을 잊을 수 없어.,b
바다 보다 싶다 해변 가다 .,바다가 보고 싶어서 해변에 갔어,b
내일 비 오다 ?,내일은 비 올까?,b
요즘 새로운 취미 찾다 있다 .,요즘 새로운 취미를 찾고 있어.,b
태국 매콤하다 음식 즐기다 .,태국에서는 매운 음식을 즐겼어.,b
오늘 야근 필요 ?,오늘 야근해야 해?,b
우체국 우표 팔다 .,우체국에서는 우표도 팔아.,b
그 회사 주식 투자 가능 ?,그 회사 주식 투자해도 될까?,b
그녀 기억 아직도 나 슬프다 하다 .,그녀의 기억은 아직도 나를 슬프게 해.,b
행운 찾다 .,너무 행운이야 이걸 찾았다니,b
새 울음소리 들리다 .,새의 울음소리가 들려,b
금요일 약속 있다 시간 안 되다 .,금요일에 약속이 있어서 시간이 안 돼,b
여행 중 무엇 하다 좋아하다 ?,여행 중에 뭐 하는 걸 좋아해?,b
넷플릭스 환불 정책 어떻다 되다 ?,넷플릭스 환불 정책 어떻게 돼?,b
마을 사람 같이 모이다 이야기 나누다 .,마을 사람들과 모여 이야기를 나눴다.,b
월급 언제 들어오다 ?,월급 언제 들어와?,b
기술 발전 일상 편리하다 되다 .,기술의 발전으로 일상이 편리해졌어,b
약속 장소 조금 일찍 도착하다 .,약속 장소에 조금 일찍 도착했어,b
수업 시작 전 숙제 제출 하다 .,수업 시작하기 전에 숙제를 제출해야 해.,b
세상 끝없다 기회 있다 .,세상에는 끝없는 기회가 있어,b
