gloss,spoken
"행운 찾다 . > 너무 행운이야 이걸 찾았다니
식당 점심 먹다 . > 식당에서 점심을 먹었어
어디 출장 비용 보고서 제출 ? > 어디서 출장 비용 보고서를 제출하나요?
어리다 때 생일 기다리다 . > ",어릴 때는 생일이 기다려졌다.
"내일 경제 보고서 발표 . > 내일 경제 보고서 발표해야 돼.
어리다 때 기억 아직도 마음속 살다 있다 . > 어릴 적의 기억은 아직도 마음속에 살아있어.
자동차 세차장 가져가다 . > 자동차를 세차장에 가져갔다.
공부 방법 바꾸다 . > ",공부 방법을 바꿔보려고 해요.
"해외 쇼핑 많이 하다 ? > 해외에서 쇼핑 많이 했나요?
금요일 보고서 제출 팀 알리다 . > 금요일까지 보고서 제출하라고 팀에 알려줘.
겨울 여행 어디 가다 좋다 ? > 겨울에는 어디로 여행 가는 게 좋아요?
이 책 보다 가능 ? > ",이 책 좀 볼 수 있을까?
"로마 역사 유적지 방문 싶다 . > 로마의 역사적인 유적지를 방문하고 싶어.
제주도 아름답다 . > 제주도는 정말 아름다워요.
인터뷰 언제 시작 ? > 인터뷰는 언제 시작하나요?
직장 프로젝트 성공적 마무리 되다 . > ",직장에서 프로젝트가 성공적으로 마무리됐다.
"그 자동차 운전 가르치다 학교 일하다 . > 그는 자동차 운전을 가르치는 학교에서 일한다.
지하철 무료 Wi-Fi 이용하다 어떻게 하다 ? > 지하철에서 무료 Wi-Fi를 이용하려면 어떻게 해야 해요?
선생님 우리 존중하다 태도 가르치다 . > 선생님은 우리에게 존중하는 태도를 가르친다.
공항 셔틀 서비스 스케줄 어떻게 되다 ? > ",공항 셔틀 서비스 스케줄은 어떻게 되나요?
"기내 알코올 음료 주문하다 가능 ? > 기내에서 알코올 음료 주문 가능해요?
라이브 스트리밍 언제 시작 ? > 라이브 스트리밍 언제 시작하나요?
아기 언제 태어나다 ? > 아기는 언제 태어났나요?
방송 스태프 일 힘들다 . > ",방송 스태프들 일이 힘들겠다.
"오늘 수업 내용 어렵다 . > 오늘 수업 내용이 어려웠다.
책 질감 좋다 종이책 선호 하다 . > 책의 질감이 좋아 종이책을 선호한다.
목베개 구매하다 있다 ? > 목베개를 구매할 수 있나요?
성공 노력 결과이다 . > ",성공은 노력의 결과야
"내일 약속 기대하다 . > 내일의 약속을 기대해
회의 몇 시 시작 ? > 회의는 몇 시에 시작하나요?
지하철 어떻다 타다 ? > 지하철엔 어떻게 타요?
불길 올라오다 ! > ",불길이 올라오고 있어요!
"멤버십 가입 혜택 무엇 있다 ? > 멤버십 가입하면 어떤 혜택이 있나요?
보너스 언제 주다 ? > 보너스 언제 주는 거야?
집 오다 휴대폰 충전하다 . > 집에 돌아오면 휴대폰을 충전해
금요일 회사 앞 보다 . > ",금요일에 회사 앞에서 보자
"병원 건강검진 받다 . > 병원에서 건강검진을 받았다.
이메일 첨부파일 열리다 않다 . > 이메일 첨부파일이 열리지 않아요.
신부 드레스 예쁘다 . > 신부 드레스 정말 예쁘네요.
프로그래머 코드 작성 하다 . > ",프로그래머는 코드를 작성한다.
